name                                                                                                                             Code_Page                                                                                                                                                                                                                                                        description
Chinese_PRC_90_CS_AI_KS_WS_SC                                                                                                    936                                                                                                                                                                                                                                                              Chinese-PRC-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_PRC_90_CS_AS_SC                                                                                                          936                                                                                                                                                                                                                                                              Chinese-PRC-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_PRC_90_CS_AS_WS_SC                                                                                                       936                                                                                                                                                                                                                                                              Chinese-PRC-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_PRC_90_CS_AS_KS_SC                                                                                                       936                                                                                                                                                                                                                                                              Chinese-PRC-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_PRC_90_CS_AS_KS_WS_SC                                                                                                    936                                                                                                                                                                                                                                                              Chinese-PRC-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_PRC_Stroke_BIN                                                                                                           936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, binary sort
Chinese_PRC_Stroke_BIN2                                                                                                          936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, binary code point comparison sort
Chinese_PRC_Stroke_CI_AI                                                                                                         936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Chinese_PRC_Stroke_CI_AI_WS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Chinese_PRC_Stroke_CI_AI_KS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Chinese_PRC_Stroke_CI_AI_KS_WS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Chinese_PRC_Stroke_CI_AS                                                                                                         936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Chinese_PRC_Stroke_CI_AS_WS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Chinese_PRC_Stroke_CI_AS_KS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Chinese_PRC_Stroke_CI_AS_KS_WS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Chinese_PRC_Stroke_CS_AI                                                                                                         936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Chinese_PRC_Stroke_CS_AI_WS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Chinese_PRC_Stroke_CS_AI_KS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Chinese_PRC_Stroke_CS_AI_KS_WS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Chinese_PRC_Stroke_CS_AS                                                                                                         936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Chinese_PRC_Stroke_CS_AS_WS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Chinese_PRC_Stroke_CS_AS_KS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Chinese_PRC_Stroke_CS_AS_KS_WS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Chinese_PRC_Stroke_90_BIN                                                                                                        936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, binary sort
Chinese_PRC_Stroke_90_BIN2                                                                                                       936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, binary code point comparison sort
Chinese_PRC_Stroke_90_CI_AI                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Chinese_PRC_Stroke_90_CI_AI_WS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Chinese_PRC_Stroke_90_CI_AI_KS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Chinese_PRC_Stroke_90_CI_AI_KS_WS                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Chinese_PRC_Stroke_90_CI_AS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Chinese_PRC_Stroke_90_CI_AS_WS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Chinese_PRC_Stroke_90_CI_AS_KS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Chinese_PRC_Stroke_90_CI_AS_KS_WS                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Chinese_PRC_Stroke_90_CS_AI                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Chinese_PRC_Stroke_90_CS_AI_WS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Chinese_PRC_Stroke_90_CS_AI_KS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Chinese_PRC_Stroke_90_CS_AI_KS_WS                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Chinese_PRC_Stroke_90_CS_AS                                                                                                      936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Chinese_PRC_Stroke_90_CS_AS_WS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Chinese_PRC_Stroke_90_CS_AS_KS                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Chinese_PRC_Stroke_90_CS_AS_KS_WS                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Chinese_PRC_Stroke_90_CI_AI_SC                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_PRC_Stroke_90_CI_AI_WS_SC                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_PRC_Stroke_90_CI_AI_KS_SC                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_PRC_Stroke_90_CI_AI_KS_WS_SC                                                                                             936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_PRC_Stroke_90_CI_AS_SC                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_PRC_Stroke_90_CI_AS_WS_SC                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_PRC_Stroke_90_CI_AS_KS_SC                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_PRC_Stroke_90_CI_AS_KS_WS_SC                                                                                             936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_PRC_Stroke_90_CS_AI_SC                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_PRC_Stroke_90_CS_AI_WS_SC                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_PRC_Stroke_90_CS_AI_KS_SC                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_PRC_Stroke_90_CS_AI_KS_WS_SC                                                                                             936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_PRC_Stroke_90_CS_AS_SC                                                                                                   936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_PRC_Stroke_90_CS_AS_WS_SC                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_PRC_Stroke_90_CS_AS_KS_SC                                                                                                936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_PRC_Stroke_90_CS_AS_KS_WS_SC                                                                                             936                                                                                                                                                                                                                                                              Chinese-PRC-Stroke-90, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_Simplified_Pinyin_100_BIN                                                                                                936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, binary sort
Chinese_Simplified_Pinyin_100_BIN2                                                                                               936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, binary code point comparison sort
Chinese_Simplified_Pinyin_100_CI_AI                                                                                              936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Chinese_Simplified_Pinyin_100_CI_AI_WS                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Chinese_Simplified_Pinyin_100_CI_AI_KS                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Chinese_Simplified_Pinyin_100_CI_AI_KS_WS                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Chinese_Simplified_Pinyin_100_CI_AS                                                                                              936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Chinese_Simplified_Pinyin_100_CI_AS_WS                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Chinese_Simplified_Pinyin_100_CI_AS_KS                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Chinese_Simplified_Pinyin_100_CI_AS_KS_WS                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Chinese_Simplified_Pinyin_100_CS_AI                                                                                              936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive
Chinese_Simplified_Pinyin_100_CS_AI_WS                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive
Chinese_Simplified_Pinyin_100_CS_AI_KS                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive
Chinese_Simplified_Pinyin_100_CS_AI_KS_WS                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive
Chinese_Simplified_Pinyin_100_CS_AS                                                                                              936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive
Chinese_Simplified_Pinyin_100_CS_AS_WS                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive
Chinese_Simplified_Pinyin_100_CS_AS_KS                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive
Chinese_Simplified_Pinyin_100_CS_AS_KS_WS                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive
Chinese_Simplified_Pinyin_100_CI_AI_SC                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CI_AI_WS_SC                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CI_AI_KS_SC                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CI_AI_KS_WS_SC                                                                                     936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CI_AS_SC                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CI_AS_WS_SC                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CI_AS_KS_SC                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CI_AS_KS_WS_SC                                                                                     936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-insensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CS_AI_SC                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CS_AI_WS_SC                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-insensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CS_AI_KS_SC                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CS_AI_KS_WS_SC                                                                                     936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-insensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CS_AS_SC                                                                                           936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-insensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CS_AS_WS_SC                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-sensitive, kanatype-insensitive, width-sensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CS_AS_KS_SC                                                                                        936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-insensitive, supplementary characters
Chinese_Simplified_Pinyin_100_CS_AS_KS_WS_SC                                                                                     936                                                                                                                                                                                                                                                              Chinese-Simplified-Pinyin-100, case-sensitive, accent-sensitive, kanatype-sensitive, width-sensitive, supplementary characters
Chinese_Simplified_Stroke_Order_100_BIN                                                                                          936                                                                                                                                                                                                                                                              Chinese-Simplified-Stroke-Order-100, binary sort
